user_id,basket_id,event_time,abandond,discount,,
564070972,13086,2019-12-01 10:30:00,0,0,2019-12-01 10:30:00,2019-12-01 10:30:00
473431727,13087,2019-12-01 10:31:00,0,0,2019-12-01 10:31:00,2019-12-01 10:31:00
580091775,13088,2019-12-01 10:36:00,0,0,2019-12-01 10:36:00,2019-12-01 10:36:00
422342715,13089,2019-12-01 10:38:00,0,0,2019-12-01 10:38:00,2019-12-01 10:38:00
476416241,13090,2019-12-01 10:40:00,0,0,2019-12-01 10:40:00,2019-12-01 10:40:00
306976352,13091,2019-12-01 10:40:00,0,0,2019-12-01 10:40:00,2019-12-01 10:40:00
547430123,13092,2019-12-01 10:40:00,1,0,2019-12-01 10:40:00,2019-12-01 10:40:00
526880392,13093,2019-12-01 10:44:00,0,0,2019-12-01 10:44:00,2019-12-01 10:44:00
432826005,13094,2019-12-01 10:44:00,0,0.15,2019-12-01 10:44:00,2019-12-01 10:44:00
473936394,13095,2019-12-01 10:45:00,1,0,2019-12-01 10:45:00,2019-12-01 10:45:00
540411843,13096,2019-12-01 10:46:00,0,0.25,2019-12-01 10:46:00,2019-12-01 10:46:00
454947115,13097,2019-12-01 10:46:00,0,0.25,2019-12-01 10:46:00,2019-12-01 10:46:00
512133915,13098,2019-12-01 10:46:00,0,0,2019-12-01 10:46:00,2019-12-01 10:46:00
427767108,13099,2019-12-01 10:46:00,1,0,2019-12-01 10:46:00,2019-12-01 10:46:00
578779619,13100,2019-12-01 10:49:00,0,0.25,2019-12-01 10:49:00,2019-12-01 10:49:00
415186518,13101,2019-12-01 10:53:00,0,0,2019-12-01 10:53:00,2019-12-01 10:53:00
580189180,13102,2019-12-01 10:54:00,0,0,2019-12-01 10:54:00,2019-12-01 10:54:00
358910850,13103,2019-12-01 10:56:00,0,0.1,2019-12-01 10:56:00,2019-12-01 10:56:00
550979949,13104,2019-12-01 10:56:00,0,0,2019-12-01 10:56:00,2019-12-01 10:56:00
571154087,13105,2019-12-01 10:57:00,0,0,2019-12-01 10:57:00,2019-12-01 10:57:00
368287207,13106,2019-12-01 10:59:00,0,0.25,2019-12-01 10:59:00,2019-12-01 10:59:00
231373184,13107,2019-12-01 11:01:00,0,0,2019-12-01 11:01:00,2019-12-01 11:01:00
419895888,13108,2019-12-01 11:02:00,0,0.25,2019-12-01 11:02:00,2019-12-01 11:02:00
579519283,13109,2019-12-01 11:03:00,0,0,2019-12-01 11:03:00,2019-12-01 11:03:00
552761247,13110,2019-12-01 11:06:00,0,0,2019-12-01 11:06:00,2019-12-01 11:06:00
371759240,13112,2019-12-01 11:08:00,0,0.1,2019-12-01 11:08:00,2019-12-01 11:08:00
438927086,13113,2019-12-01 11:09:00,1,0,2019-12-01 11:09:00,2019-12-01 11:09:00
509295489,13114,2019-12-01 11:11:00,1,0,2019-12-01 11:11:00,2019-12-01 11:11:00
580167541,13115,2019-12-01 11:13:00,0,0,2019-12-01 11:13:00,2019-12-01 11:13:00
400111518,13116,2019-12-01 11:13:00,0,0,2019-12-01 11:13:00,2019-12-01 11:13:00
448327329,13117,2019-12-01 11:13:00,0,0.15,2019-12-01 11:13:00,2019-12-01 11:13:00
580188020,13118,2019-12-01 11:17:00,0,0.15,2019-12-01 11:17:00,2019-12-01 11:17:00
504099234,13119,2019-12-01 11:18:00,0,0.15,2019-12-01 11:18:00,2019-12-01 11:18:00
580204154,13120,2019-12-01 11:18:00,1,0,2019-12-01 11:18:00,2019-12-01 11:18:00
579568779,13121,2019-12-01 11:21:00,0,0.5,2019-12-01 11:21:00,2019-12-01 11:21:00
580169873,13122,2019-12-01 11:25:00,1,0,2019-12-01 11:25:00,2019-12-01 11:25:00
